"Quarto de banho de empregada ficam fora do apto com acesso pelo hall de escada.""",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,900000,1245,411,Mensalmente,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Mineira,278340,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Bolívia,387,30330360,5,501,3,1,2,95,,Não,1,Apartamento original.,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,355000,,130,Mensalmente,,,,,,E,,,,,,
Casa Mineira,230388,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Joaquim Lustosa,95,30310410,2,201,4,1,3,128,,Não,2,"# Sistema de aquecimento solar individualizado
 # Gás canalizado individualizado.
 # Água individualizada.
 # Filtro de água na cozinha
 # Tomadas para ar condicionado.
 # Porcelanato Eliane paginado.
 # Louças Deca nos banheiros e lavabo.
 # Varanda com possibilidade de transformar varanda gourmet..",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1200000,350,360,Mensalmente,,,,,,893583302,,,ok-img (2022-03-12 09:21:41),,,
Casa Mineira,108091,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,RUA JUVENAL MELO SENRA,20,30320660,8,801,4,4,5,360,,Não,6,"* Frente * Fundos * Closet * Varanda / Sacada * Claro / Arejado * Home Theater * Escritório * Lareira * Despensa * Área de Servico * Box Despejo * Banho Empregada * Vista Panorâmica * Acabamento Luxo * Teto Rebaixado * Iluminação Planejada * Decorado. Prédio: Alto luxo, 2 guaritas sendo 1 portaria e outra p/ garagem, pourt coucher, espaço gourmet novo c/ fogão de ilha, forno p/ pizza na pedra, churrasqueira, salão de festas c/ capacidade p/ +ou- 400 pessoas.
 Apto: Abriu um quarto ampliando a suíte master, ficando esta c/ 2 banhos e escritório, dce duplo, 4 salas sendo 1 p/ 2 ambientes, 1 p/ visita, 1 almoço e 1 home theater.
 Garagem: 6 vagas cobertas e livres.
 Existem 10 vagas p/ visitantes.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,5700000,,,Mensalmente,,,,,,893583314,,,erro-img_pequena,,,
Casa Mineira,418988,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Paulo Afonso,818,30350142,,,4,1,2,240,,Não,3,Lote de 360 metros. Área construída 240 metros e aproximadamente 100 metros de área descoberta. Edícula com 1 quarto sendo DCE - lavanderia - cozinha  Casa térrea com 2 salas - 4 quartos sendo 1 suíte e 1 banho social - cozinha  3 vagas de garagem em Linha - sendo 1 descoberta e 2 cobertas  Casa original conservada e com ótima localização. Casa não tem tombamento e pode ser construído prédio.,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1500000,,,Mensalmente,,,,,,893583327,,,erro-sem_imgs,,,
Casa Mineira,231407,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Teixeira de Freitas,178,30350180,12,1201,4,1,3,170,,Não,2,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1100000,,,Mensalmente,,,,,,893583342,,,ok-img (2022-03-11 17:06:55),,,
Casa Mineira,271150,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Avenida dos Bandeirantes,1297,30310403,4,401,4,2,4,250,,Não,5,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,2150000,1400,645,Mensalmente,,,,,,893583354,,,ok-img (2022-03-11 17:07:35),,,
Casa Mineira,244835,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Nicarágua,36,30320050,6,Vários,3,1,2,88,,Não,2,https://ws.hvr360.net/tourvirtual/tiny/U3159,DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1060000,,,Mensalmente,,,,,,893583367,,,ok-img (2022-03-12 09:23:53),,,
Casa Mineira,251690,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Boa Esperança,156,30310730,2,201,4,1,2,155,,Não,2,"Apenas um lance de escada!
 Apartamento 100% reformado, parte elétrica e hidráulica!",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,820000,450,182,Mensalmente,,,,,,893583375,,,ok-img (2022-03-12 09:26:12),,,
Casa Mineira,425754,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Alameda Oscar Niemeyer,436,34006049,9,908,2,1,2,72,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,680000,800,,Mensalmente,,,,,,E,,,,,,
Casa Mineira,277904,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,Avenida Luíz Paulo Franco,414,30320570,12,1203,2,2,4,140,,Não,3,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1500000,1500,529,Mensalmente,,,,,,E,,,,,,
